"","Year","Visa","Percentages","GDP_growth"
"1",2000,"Employment",1.35673843546586,9.06083332508534
"2",2000,"Academic",2.09240072410738,9.06083332508534
"3",2000,"Religion",0.507452913761892,9.06083332508534
"4",2000,"Family",8.27523783846243,9.06083332508534
"5",2000,"Entertainment",18.9404152062551,9.06083332508534
"6",2000,"Investment",19.2052151138158,9.06083332508534
"7",2001,"Employment",1.46921188790196,4.85239957151281
"8",2001,"Academic",2.40336223489731,4.85239957151281
"9",2001,"Religion",0.562432675837468,4.85239957151281
"10",2001,"Family",10.7038796376415,4.85239957151281
"11",2001,"Entertainment",23.4455844178778,4.85239957151281
"12",2001,"Investment",20.4223984177718,4.85239957151281
"13",2002,"Employment",1.79026049410375,7.72514267547173
"14",2002,"Academic",3.65791563982973,7.72514267547173
"15",2002,"Religion",0.589625043279904,7.72514267547173
"16",2002,"Family",9.4604778101387,7.72514267547173
"17",2002,"Entertainment",27.9252123261166,7.72514267547173
"18",2002,"Investment",12.7222550357441,7.72514267547173
"19",2003,"Employment",4.45856851491723,3.14729119373408
"20",2003,"Academic",5.69890433050325,3.14729119373408
"21",2003,"Religion",0.620167907793009,3.14729119373408
"22",2003,"Family",13.4432955461746,3.14729119373408
"23",2003,"Entertainment",24.8932789451217,3.14729119373408
"24",2003,"Investment",11.1653939192714,3.14729119373408
"25",2004,"Employment",9.92500741741097,5.19739136324382
"26",2004,"Academic",7.70592267476955,5.19739136324382
"27",2004,"Religion",0.52586886017413,5.19739136324382
"28",2004,"Family",18.6662983538463,5.19739136324382
"29",2004,"Entertainment",22.17959342357,5.19739136324382
"30",2004,"Investment",9.52702495319358,5.19739136324382
"31",2005,"Employment",21.8031920007692,4.30854271411236
"32",2005,"Academic",5.74103451591193,4.30854271411236
"33",2005,"Religion",0.351528699163542,4.30854271411236
"34",2005,"Family",30.7686760888376,4.30854271411236
"35",2005,"Entertainment",12.774613017979,4.30854271411236
"36",2005,"Investment",5.253701567157,4.30854271411236
"37",2006,"Employment",18.0485633889091,5.26432659466724
"38",2006,"Academic",6.47814934629888,5.26432659466724
"39",2006,"Religion",0.307708504814226,5.26432659466724
"40",2006,"Family",40.3897322026761,5.26432659466724
"41",2006,"Entertainment",9.01255718688387,5.26432659466724
"42",2006,"Investment",6.41545912214544,5.26432659466724
"43",2007,"Employment",29.6685990014409,5.79954841503216
"44",2007,"Academic",10.49090238917,5.79954841503216
"45",2007,"Religion",0.443655128505847,5.79954841503216
"46",2007,"Family",11.8406326441712,5.79954841503216
"47",2007,"Entertainment",12.4578628154006,5.79954841503216
"48",2007,"Investment",11.9398183828704,5.79954841503216
